Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9
0.027626585,0,0.14533614,0,0,0,0,0.37195426,0.067024365,0.38201144
0.10826614,0,0.019453235,0.095514864,0.32715923,0.02297406,0,0.29661098,0,0.12699737
0.39390725,0,0,0,0,0,0,0,0.5925202,0
0,0,0,0.02093547,0.11731962,0,0,0,0.66355926,0.19166136
0.1943939,0,0.04066465,0.054590486,0.3580941,0,0,0,0.34519655,0
0,0.09962415,0.041729186,0,0.45206493,0,0,0.40327758,0,0
0,0,0,0.06117846,0.4307721,0,0,0,0.18729004,0.315954
0.015405882,0,0.35424533,0,0.5095113,0,0,0,0.04316078,0.07399726
0.19532847,0,0,0,0.0588419,0,0,0,0.5113017,0.22951771
0,0,0,0.10099022,0,0,0.1463882,0.3902781,0.14027359,0.2152719
0,0,0,0.05102814,0,0,0,0,0,0.9419374
0,0,0,0,0,0,0,0.26950818,0.23274128,0.49045405
0,0,0.011185421,0,0.3655397,0,0,0.15479809,0,0.46415862
0,0,0.16672564,0,0.14199823,0.12157429,0,0.2832867,0,0.28046042
0,0,0,0,0.025564503,0.61943585,0,0.15129973,0,0.19911356
0.1440352,0,0,0.17079733,0,0,0,0.27008098,0.110684834,0.29822338
0,0,0,0.17216763,0.2718196,0,0,0,0,0.5465507
0,0,0,0.031169748,0,0,0,0.76133984,0.041542783,0.1541751
0,0.2705989,0,0,0.064492434,0.010856214,0.13723235,0.36059466,0.045542736,0.10811186
0,0,0,0.03214203,0.4931285,0,0,0.029443106,0.118887536,0.32193354
0,0,0,0.09626194,0.024129903,0,0,0,0.037504368,0.8328705
0.033900347,0,0.043154687,0.033582523,0.3212736,0,0,0.051117163,0.058050264,0.4557942
0,0,0.028370261,0.025529027,0.05262124,0,0,0,0.60768056,0.28116474
0.17264846,0,0.018716002,0.012758215,0.029401032,0,0,0.121166006,0.25282657,0.38969758
0.3289241,0,0,0.05358167,0.20094055,0,0,0,0,0.40854937
0,0,0.030076453,0.15942155,0.37904555,0,0,0,0,0.42177752
0.1531754,0,0,0,0.06442358,0,0.04125799,0,0.11876696,0.61765707
0,0,0,0,0.090858124,0.0130892545,0,0,0.39342907,0.48194063
0,0,0,0,0.13100503,0,0,0.62134594,0.22741723,0.016353847
0,0,0.03730937,0.17184718,0.24276228,0,0,0.050992616,0,0.49308372
0.14697014,0.120584354,0.047826562,0,0.46673673,0.039898463,0,0.06477484,0,0.10979384
0,0.11516862,0,0.052067243,0.015989639,0,0,0,0.14956954,0.6617083
0,0.026736941,0,0.06912907,0.3064016,0,0,0.34622702,0,0.24463266
0,0,0,0.14036706,0.0675035,0,0,0,0.059688248,0.7242122
0.09622484,0,0,0,0.06513167,0,0,0,0.83189625,0
0,0,0.036012366,0.1452483,0,0,0,0,0.12598807,0.6825775
0,0,0,0,0,0,0,0.32847318,0.02373278,0.6407213
0.27225125,0,0,0,0,0,0,0.11969228,0.5963814,0
0.14715567,0,0,0.08001007,0.2985701,0.016295712,0,0,0,0.44960886
0.10510293,0,0,0.1272875,0,0,0,0.1706107,0.5869929,0
0,0,0,0.23110037,0.21511991,0,0,0,0.5370705,0
0.17543843,0.06441608,0,0.12492645,0,0,0,0.33069366,0.15391117,0.14584635
0.029873842,0,0,0.043898176,0,0,0.04036916,0.60819983,0.054597866,0.21464722
0,0,0,0.17063506,0,0.04022693,0,0,0.50526464,0.27841467
0.32032907,0,0,0.14558634,0,0,0,0.28511629,0,0.23714961
0,0,0.019531582,0.15211245,0.40742388,0,0,0.09451627,0.32073143,0
0.15304825,0.033607993,0,0.024730612,0.69343364,0,0,0.062973276,0.028925534,0
0.034491275,0,0,0,0,0,0,0.27118793,0.091090254,0.5966985
0,0,0,0.34692422,0.23133615,0,0,0,0,0.41128936
0,0,0,0,0.24346241,0,0,0.071259156,0.64841604,0
0.31421262,0,0.011604291,0.12587821,0.08232986,0,0,0.23497431,0.036765356,0.19245897
0.36722842,0,0,0,0,0,0,0.073627226,0.33444178,0.2124489
0.5398856,0,0,0,0.19759145,0,0,0,0.24130695,0
0.23328611,0,0.021539647,0,0.017785314,0.024763998,0.02401481,0.09049427,0.47583672,0.11021889
0.14162722,0,0,0,0.047042366,0.1533136,0,0,0.56325585,0.088508174
0.29012778,0,0,0,0,0.10008337,0.027831389,0.021476109,0.54737943,0
0.24191876,0.021738771,0.015868396,0,0,0.018363677,0,0.0890752,0.38892895,0.22198871
0.16259079,0,0.018114028,0,0.07558591,0,0,0.07247132,0.4351022,0.23262045
0.36545512,0,0,0,0.14160074,0.04680959,0,0.25074682,0,0.18791716
0.066118866,0.027494455,0.02189218,0,0.28503248,0,0.022054657,0.19266295,0.38237125,0
0.22628808,0,0,0,0.18004462,0,0,0.1263146,0.34531572,0.11776168
0.53371257,0,0.01633931,0,0,0,0,0.09328631,0.066213354,0.2774682
0.107714556,0,0.041408908,0.068410695,0,0.029422663,0,0.17535365,0.3200872,0.24642608
0,0,0.020578561,0,0.09672325,0.09102016,0,0.1099717,0.30795723,0.36966443
0.2402493,0,0,0.28330523,0,0,0.038431916,0.06433697,0.18516842,0.1850488
0.595796,0,0.05597549,0.030684117,0.18748243,0,0,0,0.12311562,0
0,0,0,0.047489565,0,0,0,0,0.5284515,0.41458744
0,0,0,0,0,0.024593994,0,0.28825426,0.120240554,0.55250925
0,0,0.09325744,0,0,0.075729474,0,0.2321437,0.5037195,0.09072215
0,0,0,0,0,0,0,0.5038701,0.19625482,0.2706411
0.40030965,0,0,0.03309703,0,0,0,0.1730611,0.04599448,0.3430549
0.31303543,0,0,0,0.29481584,0,0,0,0,0.36868998
0.22884311,0,0,0,0.051642403,0.032386106,0.09453995,0,0.18885271,0.40008175
0.5897682,0,0,0,0,0,0,0.08494112,0,0.31673437
0.0651255,0,0.09335899,0.064847104,0.15483119,0,0,0.19619891,0.42097142,0
0.13143334,0,0.012538368,0.05109166,0.1272918,0.19515026,0,0.036607843,0.29052866,0.14758728
0,0.012068742,0,0,0.121158764,0,0.037033476,0,0,0.8226488
0,0,0,0.028615028,0.14049186,0,0,0.45862982,0.09501031,0.27412492
